Day,Day of Year (Day),Duration (min),Fixture,Flow Rate (gpm),Mains Temperature (deg F),Start Time of Year (hr),Start time (hr),Fraction Hot Water,Hot Water Flow Rate (gpm),Hot Water Volume (gal),End Time of Year (hr),Type,Volume (gal)
4D8,14.0,8.516,SHWR,1.575,52.685500000000005,333.73,21.730000000000018,0.8395237063604779,1.3222498375177527,11.260279616301181,333.87193333333335,1.0,13.4127
6D6,15.0,4.833,SHWR,2.0,52.57600000000001,342.26,6.259999999999991,0.8398052031270025,1.679610406254005,8.117557093425606,342.34055,1.0,9.666
2D8,15.0,5.47,SHWR,1.443,52.57600000000001,342.42,6.420000000000016,0.8398052031270025,1.2118389081122647,6.628758827374088,342.51116666666667,1.0,7.89321
6D6,15.0,3.667,SHWR,2.0,52.57600000000001,343.91,7.910000000000025,0.8398052031270025,1.679610406254005,6.159131359733435,343.9711166666667,1.0,7.334
6D6,15.0,9.833,SHWR,2.0,52.57600000000001,344.2,8.199999999999989,0.8398052031270025,1.679610406254005,16.51560912469563,344.3638833333333,1.0,19.666
2D8,15.0,3.8539999999999996,SHWR,2.0,52.57600000000001,347.12,11.120000000000005,0.8398052031270025,1.679610406254005,6.473218505702935,347.18423333333334,1.0,7.707999999999999
2D8,15.0,7.957000000000001,SHWR,1.474,52.57600000000001,356.58,20.579999999999984,0.8398052031270025,1.2378728694092016,9.849754421889019,356.71261666666663,1.0,11.728618
6D1,16.0,7.832999999999999,SHWR,2.0,52.546499999999995,366.29,6.2900000000000205,0.839880871368298,1.679761742736596,13.157573730855756,366.42055000000005,1.0,15.665999999999999
2D5,16.0,9.833,SHWR,1.411,52.546499999999995,369.06,9.060000000000002,0.839880871368298,1.1850719095006685,11.652812086120074,369.22388333333333,1.0,13.874363
6D1,16.0,7.584,SHWR,1.935,52.546499999999995,369.95,9.949999999999989,0.839880871368298,1.6251694860976567,12.325285382564628,370.0764,1.0,14.67504
6D1,16.0,5.718999999999999,SHWR,1.8869999999999998,52.546499999999995,370.14,10.139999999999986,0.839880871368298,1.5848552042719781,9.063786913231443,370.2353166666667,1.0,10.791752999999998
2D5,16.0,6.5,SHWR,2.0,52.546499999999995,370.68,10.680000000000007,0.839880871368298,1.679761742736596,10.918451327787874,370.78833333333336,1.0,13.0
6D1,16.0,5.222,SHWR,2.0,52.546499999999995,373.38,13.379999999999995,0.839880871368298,1.679761742736596,8.771715820570506,373.46703333333335,1.0,10.444
6D1,16.0,13.055,SHWR,2.0,52.546499999999995,378.0,18.0,0.839880871368298,1.679761742736596,21.929289551426262,378.2175833333333,1.0,26.11
6D1,16.0,3.73,SHWR,1.662,52.546499999999995,380.3,20.30000000000001,0.839880871368298,1.3958820082141112,5.206639890638635,380.36216666666667,1.0,6.19926
1E8,18.0,8.908999999999999,SHWR,2.0,52.4885,421.22,13.220000000000027,0.8400294345840366,1.6800588691680731,14.967644465418362,421.36848333333336,1.0,17.817999999999998
1E9,18.0,6.287999999999999,SHWR,2.0,52.4885,424.02,16.019999999999982,0.8400294345840366,1.6800588691680731,10.564210169328843,424.1248,1.0,12.575999999999999
4D8,20.0,12.052999999999999,SHWR,1.585,52.4825,464.25,8.25,0.8400447874595113,1.3314709881233253,16.048219819850438,464.4508833333333,1.0,19.104004999999997
4D8,20.0,11.005,SHWR,1.614,52.4825,476.8,20.80000000000001,0.8400447874595113,1.3558322869596513,14.920934317990964,476.9834166666667,1.0,17.76207
4D8,20.0,8.516,SHWR,1.575,52.4825,477.73,21.730000000000018,0.8400447874595113,1.3230705402487302,11.267268720758187,477.87193333333335,1.0,13.4127
