Day,Day of Year (Day),Duration (min),Fixture,Flow Rate (gpm),Mains Temperature (deg F),Start Time of Year (hr),Start time (hr),Fraction Hot Water,Hot Water Flow Rate (gpm),Hot Water Volume (gal),End Time of Year (hr),Type,Volume (gal),Mixed Water Volume (gal),Effectiveness Generic Equal (-),Savings Generic Equal (Btu),Potable Flow Rate Unequal-WaterHeater (gal/min),Potable Flow Unequal-WaterHeater (gal),Effectiveness Generic Unequal_WaterHeater (-),Savings Generic Unequal_WaterHeater (Btu),Fixture Cold Temperature Generic (deg F),Flow_Delta Generic (gal/min),Flow_Cold_ThroughDWHR_Generic,FlowRate Effectiveness Minimum,FlowRate Effectiveness Maximum,FlowRate_Cold_Effectiveness Generic,FlowRate_Draw_Effectiveness Generic,FlowRate_Minimum,"Effectiveness_Draw_Generic Equal, Flow=Cold","HeatRecovered_Draw Generic Equal, Flow=Cold",HeatRecoveryRate_Equal Generic (Btu/min),Flow Ratio Generic,HeatRecoveryRate_Unequal-Fixture Generic (Btu/min),HeatRecovered_Draw_Generic_Unequal-Fixture (Btu),Flow_Cold_ThroughDWHR_PostCalcuations Generic
4D9,7.0,4.847,SHWR,2.0,53.045,163.41,19.41,0.8385925268339924,1.6771850536679849,8.129315955128723,163.49078333333333,1.0,9.694,9.694,0.42727019999999993,1786.3293782501903,0.3228149463320152,1.5646840448712778,0.7990665802515066,539.2194422066698,87.93084607173668,0.0007964775625803888,0.73884836049928,0.5,7.5,0.7396448380618604,2.0,0.7396448380618604,0.49983022497429713,772.8134757771633,159.4416083716037,2.704000483854833,214.1909234031418,1038.1834057350284,0.73884836049928
4D9,7.0,3.668,SHWR,2.0,53.045,164.6,20.599999999999994,0.8385925268339924,1.6771850536679849,6.151914776854169,164.66113333333334,1.0,7.336,7.336,0.42727019999999993,1351.816826783928,0.3228149463320152,1.1840852231458316,0.7990665802515066,408.0579562645068,87.93084607173668,0.0007964775625803888,0.73884836049928,0.5,7.5,0.7396448380618604,2.0,0.7396448380618604,0.49983022497429713,584.8318195070424,159.4416083716037,2.704000483854833,214.1909234031418,785.6523070427241,0.73884836049928
4D9,7.0,2.62,SHWR,2.0,53.045,164.79,20.789999999999992,0.8385925268339924,1.6771850536679849,4.3942248406101205,164.83366666666666,1.0,5.24,5.24,0.42727019999999993,965.5834477028056,0.3228149463320152,0.8457751593898798,0.7990665802515066,291.46996876036195,87.93084607173668,0.0007964775625803888,0.73884836049928,0.5,7.5,0.7396448380618604,2.0,0.7396448380618604,0.49983022497429713,417.7370139336017,159.4416083716037,2.704000483854833,214.1909234031418,561.1802193162315,0.73884836049928
2D7,8.0,5.502000000000002,SHWR,1.233,53.006,176.91,8.909999999999998,0.8386940671677904,1.0341097848178855,5.689672036068008,177.0017,1.0,6.783966,6.783966000000002,0.4756926974183938,1392.8102338520546,0.19889021518211442,1.0942939639319937,0.5993061519524617,283.05090095143635,88.43282184977754,0.0002592698829100848,0.4641064975090987,0.5,7.5,0.5,1.233,0.4643657673920088,0.5095834804696833,561.9244450314884,102.13094239031048,2.6552344866522533,136.55919943861292,751.3487153112485,0.4641064975090987
5D4,8.0,7.335,SHWR,2.0,53.006,179.63,11.629999999999995,0.8386940671677904,1.6773881343355808,12.303641965351483,179.75225,1.0,14.67,14.67,0.42727019999999993,2705.294315142587,0.32261186566441913,2.3663580346485142,0.7991110672016126,816.148905204981,87.92172802445276,0.0007987048689238607,0.7385995686157817,0.5,7.5,0.7393982734847055,2.0,0.7393982734847055,0.4998403008466297,1170.015517500818,159.51131799602155,2.7049021775155255,214.30292873923523,1571.9119823022904,0.7385995686157817
2D7,8.0,8.123,SHWR,1.237,53.006,182.3,14.300000000000011,0.8386940671677904,1.0374645610865567,8.4273246297061,182.43538333333333,1.0,10.048150999999999,10.048151,0.475468703746284,2062.0058406045036,0.19953543891344325,1.6208263702938994,0.6007404479855715,420.2475304899606,88.430557771443,0.0002609221482308133,0.4655724382013805,0.5,7.5,0.5,1.237,0.4658333603496113,0.5095399388447045,832.1604532429363,102.44496531366939,2.655456017730509,136.98202959270287,1112.7050263815254,0.4655724382013805
2D7,8.0,3.668,SHWR,1.881,53.006,184.93,16.930000000000007,0.8386940671677904,1.5775835403426135,5.7865764259767065,184.99113333333332,1.0,6.899508,6.899508,0.4353286399910722,1296.33475494761,0.3034164596573862,1.1129315740232926,0.7769546512486075,373.2036964396168,88.0102335598543,0.0006780015111674809,0.6969308178977505,0.5,7.5,0.697608819408918,1.881,0.697608819408918,0.5015152104288023,553.8691816048065,151.00032213871495,2.696353526025898,202.703434702457,743.5161984886123,0.6969308178977505
5D4,8.0,5.968,SHWR,1.259,53.006,187.03,19.03,0.8386940671677904,1.0559158305642482,6.301705676807432,187.12946666666667,1.0,7.513712000000001,7.513711999999999,0.47422981682855403,1537.889752515242,0.20308416943575183,1.2120063231925668,0.6085459887223693,318.3318489737649,88.41802186801935,0.00027016879392099957,0.47362916098606794,0.5,7.5,0.5,1.259,0.47389932977998894,0.5092989162160322,621.683674739399,104.16951654480546,2.6566823814342584,139.30457848050477,831.3697243716525,0.47362916098606794
6D4,9.0,3.013,SHWR,2.0,52.9875,197.25,5.25,0.8387421890747833,1.6774843781495663,5.054260431364644,197.30021666666667,1.0,6.026,6.026,0.42727019999999993,1111.6498976939372,0.32251562185043336,0.9717395686353557,0.7991321518495712,335.2777956899355,87.91740377154794,0.0007997629407111573,0.7384816371108718,0.5,7.5,0.7392814000515829,2.0,0.7392814000515829,0.4998450760991211,480.7072041096613,159.54437574167318,2.70532979709817,214.35604781791787,645.8547720753866,0.7384816371108718
6D4,9.0,11.005,SHWR,2.0,52.9875,197.65,5.650000000000006,0.8387421890747833,1.6774843781495663,18.460715581535986,197.83341666666664,1.0,22.01,22.01,0.42727019999999993,4060.307707972711,0.32251562185043336,3.5492844184640195,0.7991321518495712,1224.60409610612,87.91740377154794,0.0007997629407111573,0.7384816371108718,0.5,7.5,0.7392814000515829,2.0,0.7392814000515829,0.4998450760991211,1755.7858550371134,159.54437574167318,2.70532979709817,214.35604781791787,2358.9883062361864,0.7384816371108718
