Day,Day of Year (Day),Duration (min),Fixture,Flow Rate (gpm),Mains Temperature (deg F),Start Time of Year (hr),Start time (hr),Fraction Hot Water,Hot Water Flow Rate (gpm),Hot Water Volume (gal),Mixed Water Volume (gal),Effectiveness Generic Equal (-),Savings Generic Equal (Btu),Potable Flow Rate Unequal-WaterHeater (gal/min),Potable Flow Unequal-WaterHeater (gal),Effectiveness Generic Unequal_WaterHeater (-),Savings Generic Unequal_WaterHeater (Btu),Fixture Cold Temperature Generic (deg F),Flow_Delta Generic (gal/min),Flow_Cold_ThroughDWHR_Generic,FlowRate Effectiveness Minimum,FlowRate Effectiveness Maximum,FlowRate_Cold_Effectiveness Generic,FlowRate_Draw_Effectiveness Generic,FlowRate_Minimum,"Effectiveness_Draw_Generic Equal, Flow=Cold","HeatRecovered_Draw Generic Equal, Flow=Cold",HeatRecoveryRate_Equal Generic (Btu/min),Flow Ratio Generic,HeatRecoveryRate_Unequal-Fixture Generic (Btu/min),HeatRecovered_Draw_Generic_Unequal-Fixture (Btu),Flow_Cold_ThroughDWHR_PostCalcuations Generic
4D7,14.0,7.205,SHWR,1.81,52.68550000000001,332.63,20.63,0.8395237063604779,1.519537908512465,10.94827063083231,13.04105,0.44006731692125994,2492.1967570548863,0.2904620914875351,2.0927793691676904,0.7626218178021764,693.0799290880731,87.94941561796449,0.003878018195019761,0.6691167830008266,0.5,7.5,0.6729948011958463,1.81,0.6729948011958463,0.5024707014736728,1058.0521870119776,146.84971367272416,2.689470998563148,197.00208166008107,1419.3999983608842,0.6691167830008266
6D6,15.0,4.833,SHWR,2.0,52.57600000000001,342.26,6.26,0.8398052031270025,1.679610406254005,8.117557093425606,9.666,0.42727019999999993,1797.2484675100025,0.3203895937459952,1.5484429065743948,0.7995981469615766,538.797662690174,87.77775842820228,0.004885535310724665,0.7346933553304451,0.5,7.5,0.7395788906411698,2.0,0.7395788906411698,0.4998329201388142,777.4722297250099,160.86741769605004,2.7042415965470865,216.11128087351156,1044.4658204616815,0.7346933553304451
6D6,15.0,3.667,SHWR,2.0,52.57600000000001,343.91,7.91,0.8398052031270025,1.679610406254005,6.1591313597334345,7.334,0.42727019999999993,1363.6478647546403,0.3203895937459952,1.1748686402665642,0.7995981469615766,408.8084065973242,87.77775842820228,0.004885535310724665,0.7346933553304451,0.5,7.5,0.7395788906411698,2.0,0.7395788906411698,0.4998329201388142,589.9008206914154,160.86741769605004,2.7042415965470865,216.11128087351156,792.4800669631669,0.7346933553304451
6D6,15.0,9.833,SHWR,2.0,52.57600000000001,344.2,8.2,0.8398052031270025,1.679610406254005,16.51560912469563,19.666,0.42727019999999993,3656.5992511950867,0.3203895937459952,3.1503908753043706,0.7995981469615766,1096.212997565173,87.77775842820228,0.004885535310724665,0.7346933553304451,0.5,7.5,0.7395788906411698,2.0,0.7395788906411698,0.4998329201388142,1581.80931820526,160.86741769605004,2.7042415965470865,216.11128087351156,2125.0222248292393,0.7346933553304451
2D5,16.0,9.833,SHWR,1.411,52.5465,369.06,9.06,0.8398808713682979,1.1850719095006683,11.652812086120074,13.874363,0.4653684831321041,2811.338012836994,0.2259280904993315,2.2215509138799265,0.6588825278023585,637.3343212597847,88.19299213580888,0.0023535339511644437,0.526354902101856,0.5,7.5,0.5287084360530204,1.411,0.5287084360530204,0.5075853322510852,1148.9850749460923,116.84990083861408,2.668767705946914,156.4449723963173,1538.323413572988,0.526354902101856
2D5,16.0,6.5,SHWR,2.0,52.5465,370.68,10.68,0.8398808713682979,1.6797617427365958,10.918451327787874,13.0,0.42727019999999993,2418.5161992910353,0.320238257263404,2.081548672212126,0.799631334892098,724.7353063851506,87.77079193140766,0.0048932751416113085,0.7345053866281588,0.5,7.5,0.7393986617697701,2.0,0.7393986617697701,0.4998402849811111,1045.987071654371,160.9210879468263,2.7049007570732515,216.19692083928138,1405.2799854553289,0.7345053866281588
1E8,18.0,8.908999999999997,SHWR,2.0,52.4885,421.22,13.22,0.8400294345840366,1.6800588691680731,14.967644465418363,17.817999999999994,0.42727019999999993,3318.520883250659,0.31994113083192693,2.8503555345816363,0.7996965010269267,993.5900337710514,87.75709926457637,0.004908514026618183,0.7341362138428317,0.5,7.5,0.7390447278694499,2.0,0.7390447278694499,0.49985474457998635,1434.5856995073268,161.02656858315493,2.7061961537371175,216.36524805215112,1927.5979948966137,0.7341362138428317
4D8,20.0,12.053,SHWR,1.585,52.4825,464.25,8.25,0.8400447874595113,1.331470988123325,16.048219819850438,19.104005,0.4546520741766412,3786.4847862481197,0.25352901187667454,3.055785180149558,0.7089383858666395,944.41728879126,88.06285718895458,0.0029649798643160974,0.5884068741507655,0.5,7.5,0.5913718540150816,1.585,0.5913718540150816,0.5054686775263261,1570.661767332446,130.31293182879332,2.680208720179601,174.6624414888026,2105.206407264538,0.5884068741507655
4D8,20.0,11.005,SHWR,1.614,52.4825,476.8,20.8,0.8400447874595113,1.3558322869596513,14.920934317990966,17.76207,0.4528142617271233,3506.277545600301,0.25816771304034875,2.8411356820090377,0.7165419781072457,887.4956420464227,88.04283584504967,0.0030764277735094714,0.5987276668727819,0.5,7.5,0.6018040946462914,1.614,0.6018040946462914,0.5051004427088763,1458.329129564913,132.51514125987396,2.6819358896994943,177.64359952714716,1954.9678127962545,0.5987276668727819
4D8,20.0,8.516,SHWR,1.575,52.4825,477.73,21.73,0.8400447874595113,1.3230705402487302,11.267268720758187,13.4127,0.4552826035570312,2662.1338237888226,0.2519294597512696,2.145431279241812,0.7062690938727558,660.5678407139171,88.06970803430278,0.002927310929002891,0.5848432694328657,0.5,7.5,0.5877705803618686,1.575,0.5877705803618686,0.50559475786973,1103.2620412314018,129.55167229114628,2.679616933243462,173.63222636568963,1478.652039730213,0.5848432694328657
2D3,21.0,2.705,SHWR,1.746,52.54050000000001,486.21,6.21,0.8398962527717961,1.4664588573395558,3.9667712091035,4.72293,0.44428736987292866,913.7516945653911,0.279541142660444,0.756158790896501,0.7486035301755474,246.50038134589087,87.96248204225705,0.003615594958845114,0.6457693353098575,0.5,7.5,0.6493849302687026,1.746,0.6493849302687026,0.5033651258048757,385.0395296531568,142.34363388286758,2.6886980566018677,190.94295392276106,516.5006903610687,0.6457693353098575
